"iteration";"SVM.kernel_gamma";"SVM.C";"accuracy"
34.0;0.01;0.9999999999999998;0.9461538461538461
1.0;0.01;0.001;0.7512820512820513
25.0;0.034657242157757326;0.10000000000000003;0.8615384615384615
58.0;0.034657242157757326;100.0;0.9487179487179487
35.0;0.018616455666360693;0.9999999999999998;0.9461538461538461
17.0;0.223606797749979;0.010000000000000002;0.7512820512820513
50.0;0.223606797749979;10.000000000000005;0.8230769230769232
26.0;0.0645195012148216;0.10000000000000003;0.7743589743589744
2.0;0.018616455666360693;0.001;0.7512820512820513
36.0;0.034657242157757326;0.9999999999999998;0.9512820512820512
42.0;1.4426999059072139;0.9999999999999998;0.7512820512820513
3.0;0.034657242157757326;0.001;0.7512820512820513
27.0;0.12011244339814313;0.10000000000000003;0.7512820512820513
59.0;0.0645195012148216;100.0;0.9487179487179487
51.0;0.4162766037009365;10.000000000000005;0.7538461538461538
4.0;0.0645195012148216;0.001;0.7512820512820513
37.0;0.0645195012148216;0.9999999999999998;0.9512820512820512
18.0;0.4162766037009365;0.010000000000000002;0.7512820512820513
5.0;0.12011244339814313;0.001;0.7512820512820513
52.0;0.7749594937741684;10.000000000000005;0.7512820512820513
60.0;0.12011244339814313;100.0;0.9230769230769231
6.0;0.223606797749979;0.001;0.7512820512820513
28.0;0.223606797749979;0.10000000000000003;0.7512820512820513
43.0;2.685795883818439;0.9999999999999998;0.7512820512820513
38.0;0.12011244339814313;0.9999999999999998;0.9153846153846155
7.0;0.4162766037009365;0.001;0.7512820512820513
53.0;1.4426999059072139;10.000000000000005;0.7512820512820513
61.0;0.223606797749979;100.0;0.8179487179487179
8.0;0.7749594937741684;0.001;0.7512820512820513
19.0;0.7749594937741684;0.010000000000000002;0.7512820512820513
9.0;1.4426999059072139;0.001;0.7512820512820513
54.0;2.685795883818439;10.000000000000005;0.7512820512820513
29.0;0.4162766037009365;0.10000000000000003;0.7512820512820513
44.0;5.0;0.9999999999999998;0.7512820512820513
62.0;0.4162766037009365;100.0;0.7538461538461538
10.0;2.685795883818439;0.001;0.7512820512820513
39.0;0.223606797749979;0.9999999999999998;0.8051282051282052
11.0;5.0;0.001;0.7512820512820513
20.0;1.4426999059072139;0.010000000000000002;0.7512820512820513
55.0;5.0;10.000000000000005;0.7512820512820513
45.0;0.01;10.000000000000005;0.9512820512820515
63.0;0.7749594937741684;100.0;0.7512820512820513
12.0;0.01;0.010000000000000002;0.7512820512820513
30.0;0.7749594937741684;0.10000000000000003;0.7512820512820513
13.0;0.018616455666360693;0.010000000000000002;0.7512820512820513
56.0;0.01;100.0;0.9512820512820515
40.0;0.4162766037009365;0.9999999999999998;0.7512820512820513
64.0;1.4426999059072139;100.0;0.7512820512820513
46.0;0.018616455666360693;10.000000000000005;0.9564102564102563
14.0;0.034657242157757326;0.010000000000000002;0.7512820512820513
21.0;2.685795883818439;0.010000000000000002;0.7512820512820513
57.0;0.018616455666360693;100.0;0.9538461538461538
15.0;0.0645195012148216;0.010000000000000002;0.7512820512820513
47.0;0.034657242157757326;10.000000000000005;0.953846153846154
65.0;2.685795883818439;100.0;0.7512820512820513
31.0;1.4426999059072139;0.10000000000000003;0.7512820512820513
23.0;0.01;0.10000000000000003;0.7897435897435897
16.0;0.12011244339814313;0.010000000000000002;0.7512820512820513
24.0;0.018616455666360693;0.10000000000000003;0.8512820512820513
41.0;0.7749594937741684;0.9999999999999998;0.7512820512820513
22.0;5.0;0.010000000000000002;0.7512820512820513
48.0;0.0645195012148216;10.000000000000005;0.9461538461538461
66.0;5.0;100.0;0.7512820512820513
32.0;2.685795883818439;0.10000000000000003;0.7512820512820513
49.0;0.12011244339814313;10.000000000000005;0.9153846153846154
33.0;5.0;0.10000000000000003;0.7512820512820513
